anidbid, title_type, language, title
14	official	fr	RahXephon
14	official	de	RahXephon
14	official	el	Ενορχήστρωση
14	short	x-jat	rx
14	synonym	ar	راهزيفون
14	synonym	he	רה-קספון
14	synonym	ru	Ра-Зефон
14	synonym	uk	РаКсефон
14	synonym	zh	翼神传说
15	main	x-jat	Kanon
15	official	ja	Kanon
15	synonym	ja	カノン
15	synonym	en	Kanon 2002
15	synonym	ru	Канон
15	synonym	zh	雪之少女
16	main	x-jat	Onegai Teacher
16	official	ja	おねがい☆ティーチャー
16	official	th	พลีสทีชเชอร์ สอนนักรักซะ
16	official	de	Onegai Teacher
16	official	fr	Please Teacher!
16	official	en	Please Teacher!
16	short	ja	おねてぃ
16	short	x-jat	one1
16	short	x-jat	onetea
16	short	x-jat	OT
16	synonym	lt	Prašau Mokytoja!
16	synonym	uk	Будь ласка, вчителю!
16	synonym	bg	Моля ви учителю
16	synonym	ru	Пожалуйста! Учитель
17	main	x-jat	Fullmetal Panic!
17	official	ko	풀 메탈 패닉!
17	official	th	ฟูลเมทัล แพนิค!
17	official	ja	フルメタル・パニック!
17	official	ro	Full Metal Panic!
17	official	it	Full Metal Panic!
17	official	hu	Full Metal Panic!
17	official	de	Full Metal Panic!
17	official	cs	Full Metal Panic!
17	official	sv	Full Metal Panic!
17	official	pl	Full Metal Panic!
17	official	fi	Full Metal Panic!
17	official	en	Full Metal Panic!
17	official	fr	Full Metal Panic!
17	official	uk	Металева тривога
17	official	ru	Стальная тревога
17	official	zh	全金属狂潮
17	short	x-jat	FMP
17	short	x-jat	FMP!
17	short	x-jat	FMP1
17	synonym	x-jat	Full Metal Panic
17	synonym	he	!פול מטאל פאניק
17	synonym	bg	Пълна метална паника!
17	synonym	uk	Сталева тривога!
17	synonym	zh-Hans	全金属狂潮2 校园篇
18	main	x-jat	Musekinin Kanchou Tylor
18	official	it	L`irresponsabile Capitano Tylor
18	official	en	The Irresponsible Captain Tylor
18	official	es-LA	Tylor, El Capitán Irresponsable
18	official	fr	Tylor - The irresponsible captain
18	official	ja	無責任艦長タイラー
18	short	en	ICT
18	synonym	ru	Безответственный капитан Тайлор
19	main	x-jat	Rizelmine
19	official	ja	りぜるまいん
19	short	x-jat	rizel
19	synonym	th	ริเซ็ลไมน์
19	synonym	x-jat	Rizelmain
19	synonym	x-jat	Rizerumain
20	main	x-jat	Tokyo Underground
20	official	fr	Tokyo Underground
20	official	ja	東京アンダーグラウンド
20	short	x-jat	TU
21	main	x-jat	Full Moon o Sagashite
21	official	ko	달빛천사
21	official	en	Full Moon
21	official	zh-Hant	星河滿月
21	official	ja	満月[フルムーン]をさがして
21	short	x-jat	FMoS
21	short	x-jat	FMwS
21	short	x-jat	fullmoon
21	short	x-jat	full moon
21	synonym	tr	Dolunay Arayışı
21	synonym	x-jat	Full Moon wo Sagashite
21	synonym	en	Searching for the Full Moon
21	synonym	pl	W poszukiwaniu pełni księżyca
21	synonym	ru	В поисках Полной Луны
21	synonym	zh	尋找滿月
22	main	x-jat	Shinseiki Evangelion
22	official	ko	신세기 에반게리온
22	official	th	อีวานเกเลี่ยน: มหาสงครามวันพิพากษา
22	official	es-LA	Evangelion
22	official	gl	Evangelion
22	official	pl	Neon Genesis Evangelion
22	official	es	Neon Genesis Evangelion
22	official	pt	Neon Genesis Evangelion
22	official	en	Neon Genesis Evangelion
22	official	it	Neon Genesis Evangelion
22	official	pt-BR	Neon Genesis Evangelion
22	official	sv	Neon Genesis Evangelion
22	official	fr	Neon Genesis Evangelion
22	official	fi	Neon Genesis Evangelion
22	official	de	Neon Genesis Evangelion
22	official	he	ניאון ג`נסיס אוונג`ליון
22	official	ru	Евангелион
22	official	ja	新世紀エヴァンゲリオン
22	official	zh	新世纪福音战士
22	short	x-jat	eva
22	short	x-jat	eva tv
22	short	en	NGE
22	short	en	nge tv
22	short	x-jat	sse
22	short	ru	ева
22	short	uk	єва
22	synonym	x-jat	Evangelion
22	synonym	fr	Neon Genesis Evangelion Platinum
22	synonym	en	Neon Genesis Evangelion Renewal
22	synonym	bg	Евангелион
22	synonym	uk	Євангеліон
22	synonym	uk	Євангеліон нового покоління
22	synonym	uk	Нова ера: Євангеліон
23	main	x-jat	Cowboy Bebop
23	official	ko	카우보이 비밥
23	official	ja	カウボーイビバップ
23	official	fi	Cowboy Bebop
23	official	es-LA	Cowboy Bebop
23	official	pl	Cowboy Bebop
23	official	fr	Cowboy Bebop
23	official	pt	Cowboy Bebop
23	official	ca	Cowboy Bebop
23	official	it	Cowboy Bebop
23	official	de	Cowboy Bebop
23	official	pt-BR	Cowboy Bebop
23	official	en	Cowboy Bebop
23	official	es	Cowboy Bebop
23	official	ro	Cowboy Bebop
23	official	hu	Csillagközi fejvadászok
23	official	cs	Kovboj Bebop
23	official	he	קאובוי ביבופ
23	official	bg	Марсиански каубой
23	official	zh	星际牛仔
23	short	x-jat	Bebop
23	short	x-jat	Bebop TV
23	short	x-jat	CB
23	synonym	x-jat	CBB
23	synonym	nl	Cowboy Bebop
23	synonym	lt	Kaubojus Bebopas
23	synonym	lt	Kaubojus Bibopas
23	synonym	tr	Kovboy Bebop
23	synonym	ar	راعي البقر بيبوب
23	synonym	fa	کابوی بیباپ
23	synonym	ru	Ковбой Бибоп ТВ
23	synonym	uk	Ковбой Бібоп ТБ
24	main	x-jat	.hack//SIGN
24	official	de	.hack//SIGN
24	official	ja	.hack//SIGN
24	official	pt-BR	.hack//SIGN
24	official	fr	.hack//SIGN
24	short	x-jat	hack
24	short	x-jat	hackSIGN
24	short	x-jat	sign
24	short	bg	Хак
24	synonym	x-jat	dot hack
